question,intent,entity,answer
Quốc gia nào nổi tiếng với tháp đôi Petronas?,geography,Malaysia,Malaysia nổi tiếng với tháp đôi Petronas.
Nghệ sĩ nào nổi tiếng với bức tranh "The Starry Night"?,art,Vincent van Gogh,Vincent van Gogh là nghệ sĩ nổi tiếng với bức tranh "The Starry Night."
Nghệ sĩ nào là người sáng tạo của bức tranh "The Persistence of Memory"?,art,Surrealism,Salvador Dalí là người sáng tạo của bức tranh "The Persistence of Memory" thuộc thể loại Nghệ thuật Siêu thực.
Quốc gia nào nổi tiếng với những đoàn quân Spartan?,history,Greece,Hy Lạp nổi tiếng với đoàn quân Spartan.
Dãy núi nào chia cắt châu Phi từ phía Bắc đến phía Nam?,geography,Great Rift Valley,Dãy núi Great Rift Valley chia cắt châu Phi từ phía Bắc đến phía Nam.
Nhà văn nào viết cuốn tiểu thuyết "One Hundred Years of Solitude"?,literature,Gabriel García Márquez,Gabriel García Márquez là tác giả của cuốn tiểu thuyết "One Hundred Years of Solitude."
Năm nào diễn ra Cuộc Cách mạng Pháp?,history,1789,Cuộc Cách mạng Pháp diễn ra vào năm 1789.
Ngôn ngữ lập trình Python được tạo ra bởi ai?,programming,Guido van Rossum,Ngôn ngữ lập trình Python được tạo ra bởi Guido van Rossum.
Quốc gia nào nổi tiếng với lễ hội Diwali?,culture,India,Ấn Độ nổi tiếng với lễ hội Diwali.
Ai là người sáng tạo của kiểu máy tính cá nhân IBM PC?,technology,IBM,IBM PC được sáng tạo bởi đội ngũ tại IBM.
Nhà văn nào viết cuốn tiểu thuyết "Pride and Prejudice"?,literature,Jane Austen,Jane Austen là người viết cuốn tiểu thuyết "Pride and Prejudice."
Thành phố nào là trung tâm tài chính của thế giới?,finance,Worldwide,New York City thường được coi là trung tâm tài chính của thế giới.
Quốc gia nào nổi tiếng với tháp đôi Petronas?,geography,Malaysia,Malaysia nổi tiếng với tháp đôi Petronas ở Kuala Lumpur.
Dòng sông nào chảy qua thung lũng Grand Canyon?,river,Colorado,Colorado River chảy qua thung lũng Grand Canyon.
Năm nào chiếc tàu Titanic gặp nạn?,history,1912,Chiếc tàu Titanic gặp nạn vào năm 1912.
Ai là người sáng lập Microsoft?,technology,Bill Gates và Paul Allen,Bill Gates và Paul Allen là người sáng lập Microsoft.
Quốc gia nào nổi tiếng với lễ hội Oktoberfest?,culture,Germany,Đức nổi tiếng với lễ hội Oktoberfest.
Ai là vị vua nổi tiếng trong lịch sử Ai Cập cổ đại xây dựng đền thờ Giza?,history,Pharaoh Khufu,Pharaoh Khufu là vị vua xây dựng đền thờ Giza.
Ngôn ngữ lập trình Java được phát triển bởi công ty nào?,programming,Sun Microsystems (hiện nay là Oracle),Java được phát triển bởi Sun Microsystems (hiện nay là Oracle).
Nhà khoa học nào đã phát triển lý thuyết tương đối rộng?,science,Albert Einstein,Albert Einstein đã phát triển lý thuyết tương đối rộng.
Thành phố nào được gọi là "Thủ đô ánh sáng"?,nickname,Paris,Paris được gọi là "Thủ đô ánh sáng" vì nó là trung tâm văn hóa và nghệ thuật.
Nước nào có dân số đông nhất thế giới hiện nay?,geography,China,Trung Quốc có dân số đông nhất thế giới hiện nay.
Cuốn sách nào là cuốn sách bán chạy nhất mọi thời đại?,literature,Bible,Kinh Thánh (Bible) được cho là cuốn sách bán chạy nhất mọi thời đại.
Quốc gia nào là quê hương của K-pop?,music,South Korea,Hàn Quốc là quê hương của K-pop.
Nghệ sĩ nào là người sáng tạo của bức tranh "Guernica"?,art,Pablo Picasso,Pablo Picasso là người sáng tạo của bức tranh "Guernica."
Thành phố nào được biết đến với biệt danh "Thành phố không bao giờ ngủ"?,nickname,New York,New York được biết đến với biệt danh "Thành phố không bao giờ ngủ."
Ngày nào được coi là "Ngày Độc lập Hoa Kỳ"?,special_day,July 4,Ngày 4 tháng 7 được coi là "Ngày Độc lập Hoa Kỳ."
Quốc gia nào nổi tiếng với lễ hội Rio Carnival?,culture,Brazil,Brazil nổi tiếng với lễ hội Rio Carnival.
Ai là tác giả của cuốn sách "The Great Gatsby"?,literature,Worldwide,"The Great Gatsby" được viết bởi F. Scott Fitzgerald.
Quốc gia nào nổi tiếng với tháp Eiffel?,geography,France,Pháp nổi tiếng với tháp Eiffel.
Thành phố nào được gọi là "Thủ đô của thế giới"?,nickname,New York,New York được gọi là "Thủ đô của thế giới."
Nghệ sĩ nào là người sáng tạo của bức tranh "Starry Night"?,art,Vincent van Gogh,Vincent van Gogh là người sáng tạo của bức tranh "Starry Night."
Cuộc Cách mạng Công nghiệp diễn ra vào thế kỷ nào?,history,18th century,Cuộc Cách mạng Công nghiệp diễn ra chủ yếu trong thế kỷ 18.
Quốc gia nào nổi tiếng với lễ hội Oktoberfest?,culture,Germany,Đức nổi tiếng với lễ hội Oktoberfest.
Thành phố nào là thủ đô của Nhật Bản?,capital_city,Japan,Tokyo là thủ đô của Nhật Bản.
Năm nào Cuộc đua vũ trụ giữa Hoa Kỳ và Liên Xô diễn ra?,space,20th century,Cuộc đua vũ trụ diễn ra chủ yếu trong thế kỷ 20.
Bộ phim "Titanic" do đạo diễn nào thực hiện?,movies,James Cameron,Bộ phim "Titanic" được đạo diễn bởi James Cameron.
Dãy núi nào chứa đỉnh núi Everest?,geography,Himalayas,Dãy núi Himalayas chứa đỉnh núi Everest.
Nước nào có diện tích đất lớn nhất thế giới?,geography,Russia,Nga có diện tích đất lớn nhất thế giới.
Quốc gia nào nổi tiếng với đảo Santorini?,geography,Greece,Hy Lạp nổi tiếng với đảo Santorini.
Bức tranh "Mona Lisa" được vẽ bởi nghệ sĩ nào?,art,Leonardo da Vinci,"Mona Lisa" được vẽ bởi Leonardo da Vinci.
Ngôn ngữ lập trình Python được tạo ra bởi ai?,programming,Guido van Rossum,Python được tạo ra bởi Guido van Rossum.
Ai là nhà khoa học đầu tiên nói về "Luật Trọng lực"?,science,Isaac Newton,Isaac Newton là người nói về "Luật Trọng lực" đầu tiên.
Năm nào diễn ra Cuộc Cách mạng Pháp?,history,1789,Cuộc Cách mạng Pháp diễn ra vào năm 1789.
Thành phố nào được coi là "Thủ đô ánh sáng"?,nickname,Paris,Paris được gọi là "Thủ đô ánh sáng."
Quốc gia nào có nền công nghiệp sản xuất ô tô phát triển mạnh nhất thế giới?,industry,Germany,Đức có nền công nghiệp sản xuất ô tô phát triển mạnh nhất thế giới.
Nước nào nổi tiếng với lễ hội Diwali?,culture,India,Ấn Độ nổi tiếng với lễ hội Diwali.
Dòng sông nào là dòng sông dài nhất thế giới?,longest_river,Amazon,Amazon là dòng sông dài nhất thế giới.
Ngôn ngữ lập trình Java được phát triển bởi công ty nào?,programming,Sun Microsystems (hiện nay là Oracle),Java được phát triển bởi Sun Microsystems (hiện nay là Oracle).
Quốc gia nào nổi tiếng với lễ hội Rio Carnival?,culture,Brazil,Brazil nổi tiếng với lễ hội Rio Carnival.
Nhà văn nào được biết đến với tác phẩm "Romeo and Juliet"?,literature,William Shakespeare,William Shakespeare là người viết "Romeo and Juliet."
Thành phố nào là thủ đô của Ý?,capital_city,Italy,Rome là thủ đô của Ý.
Năm nào diễn ra Chiến tranh Thế giới thứ nhất kết thúc?,history,1918,Chiến tranh Thế giới thứ nhất kết thúc vào năm 1918.
Cuộc đua vũ trụ giữa Hoa Kỳ và Liên Xô bắt đầu vào năm nào?,space,20th century,Cuộc đua vũ trụ bắt đầu vào thế kỷ 20.
Quốc gia nào có diện tích đất nhỏ nhất thế giới?,geography,Monaco,Monaco có diện tích đất nhỏ nhất thế giới.
Nhà văn nào được biết đến với tác phẩm "The Catcher in the Rye"?,literature,J.D. Salinger,J.D. Salinger là người viết "The Catcher in the Rye."
Ngày nào được coi là "Ngày Độc lập Hoa Kỳ"?,special_day,July 4,Ngày 4 tháng 7 được coi là "Ngày Độc lập Hoa Kỳ."
Nước nào là quê hương của Mozart?,music,Austria,Áo là quê hương của nhà soạn nhạc Wolfgang Amadeus Mozart.
